OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2018,HARVARD AVE,42.34902699,-71.129878
ROBBERY,2018,DORCHESTER AVE,42.28657334,-71.06408374
ROBBERY,2018,RIPLEY RD,42.29926303,-71.07626513
ROBBERY,2018,ESSEX ST,42.35235362,-71.05815283
ROBBERY,2018,MELVILLE AVE,42.29338993,-71.07155745
ROBBERY,2018,HARRISON AVENUE EXT,42.35314285,-71.06144288
ROBBERY,2018,HARRISON AVE,42.33511904,-71.0749171
ROBBERY,2018,BREMEN ST,42.37030725,-71.03724113
ROBBERY,2018,RIVER ST,42.268024,-71.09301057
ROBBERY,2018,ESSEX ST,42.35249436,-71.0613928
ROBBERY,2018,ADAMS ST,42.28557842,-71.05496381
ROBBERY,2018,WASHINGTON ST,42.29212974,-71.07175746
ROBBERY,2018,PARKER HILL AVE,42.33093363,-71.10956443
ROBBERY,2018,BELGRADE AVE,42.28631799,-71.13407707
ROBBERY,2018,WASHINGTON ST,42.28277895,-71.07135525
ROBBERY,2018,KINGSTON ST,42.35370585,-71.05898587
ROBBERY,2018,HARVARD AVE,42.35375411,-71.13225621
ROBBERY,2018,BLUE HILL AVE,42.27478462,-71.09368461
ROBBERY,2018,WARREN ST,42.32026821,-71.08150494
ROBBERY,2018,CAMBRIDGE ST,42.35421226,-71.13586089
ROBBERY,2018,CAMBRIDGE ST,42.35421226,-71.13586089
ROBBERY,2018,STOUGHTON ST,42.31489621,-71.06043028
ROBBERY,2018,BORDER ST,42.37620267,-71.03979926
ROBBERY,2018,VINSON ST,42.29798785,-71.06506647
ROBBERY,2018,FESSENDEN ST,42.27855984,-71.09199697
ROBBERY,2018,SUMMER ST,42.35196671,-71.05415459
ROBBERY,2018,MILK ST,42.35822966,-71.05362239
ROBBERY,2018,BROOKS ST,42.37928285,-71.0353629
ROBBERY,2018,ALTHER ST,42.3308322,-71.0742883
ROBBERY,2018,WALK HILL ST,42.2790573,-71.09584789
ROBBERY,2018,FARNHAM ST,42.33046536,-71.07442945
ROBBERY,2018,ASHMONT ST,42.28534033,-71.07118543
ROBBERY,2018,NEWBURY ST,42.34840576,-71.08688339
ROBBERY,2018,SARATOGA ST,42.37950444,-71.02857705
ROBBERY,2018,TYLER ST,42.34888042,-71.06149764
ROBBERY,2018,DORCHESTER AVE,42.30396336,-71.05924636
ROBBERY,2018,DORCHESTER AVE,42.32029322,-71.05676992
ROBBERY,2018,IPSWICH ST,42.34750972,-71.09011373
ROBBERY,2018,WHITING ST,42.32525618,-71.07922845
ROBBERY,2018,EAST ST,42.35156343,-71.05701389
ROBBERY,2018,WASHINGTON ST,42.34175462,-71.0685477
ROBBERY,2018,ALPHA RD,42.29581546,-71.06884734
ROBBERY,2018,MARION ST,42.37725644,-71.03667354
ROBBERY,2018,BABSON ST,42.27267557,-71.09192911
ROBBERY,2018,LARCHMONT ST,42.29703368,-71.06860662
ROBBERY,2018,MERIDIAN ST,42.37750247,-71.03916237
ROBBERY,2018,LUCERNE ST,42.28792347,-71.08815774
ROBBERY,2018,BOYLSTON ST,42.34693807,-71.09266111
ROBBERY,2018,LESTON ST,42.28349153,-71.08991288
ROBBERY,2018,BOWDOIN ST,42.31016764,-71.0629118
ROBBERY,2018,ROCKDALE ST,42.26652466,-71.0985532
ROBBERY,2018,RIDGEWOOD ST,42.30209443,-71.06575183
ROBBERY,2018,MAGAZINE ST,42.32667817,-71.0714811
ROBBERY,2018,TALBOT AVE,42.28935481,-71.06767297
ROBBERY,2018,FESSENDEN ST,42.27855984,-71.09199697
ROBBERY,2018,BLUE HILL AVE,42.27470119,-71.09344053
ROBBERY,2018,MASSACHUSETTS AVE,42.33152148,-71.07085307
ROBBERY,2018,LYNDHURST ST,42.29290563,-71.06955795
ROBBERY,2018,PORTSMOUTH ST,42.36053257,-71.14426332
ROBBERY,2018,RUTHERFORD AVE,42.37167264,-71.06326413
ROBBERY,2018,WARREN ST,42.32823419,-71.08328981
ROBBERY,2018,CUMMINS HWY,42.27645319,-71.11297971
ROBBERY,2018,PARK ST,42.35650174,-71.0619996
ROBBERY,2018,DALE ST,42.32074773,-71.08179833
ROBBERY,2018,HUMBOLDT AVE,42.31024899,-71.0918393
ROBBERY,2018,BOWDOIN ST,42.30609356,-71.0671857
ROBBERY,2018,WEST ST,42.35459106,-71.0621901
ROBBERY,2018,COLUMBIA RD,42.31069804,-71.07119068
ROBBERY,2018,NEPONSET VALLEY PKWY,42.23603929,-71.12718154
ROBBERY,2018,BULFINCH PL,42.36219081,-71.06223802
ROBBERY,2018,HARRISON AVE,42.33153805,-71.08015661
ROBBERY,2018,MAIN ST,42.37515337,-71.06409893
ROBBERY,2018,KEMBLE ST,42.32695733,-71.07074008
ROBBERY,2018,HAZLETON ST,42.28152567,-71.09700335
ROBBERY,2018,FOREST HILLS ST,42.30492239,-71.10298073
ROBBERY,2018,WOODLAWN ST,42.29860932,-71.11223703
ROBBERY,2018,KNEELAND ST,42.34958657,-71.05735762
ROBBERY,2018,RIVER ST,42.26956689,-71.09075049
ROBBERY,2018,PALFREY ST,42.28496725,-71.12009416
ROBBERY,2018,HUNTINGTON AVE,42.34221544,-71.08577075
