"distance","Legend","MUNI","Area","counter","distInt","Building_Density"
13200,"Outside the UGA","MANOR TOWNSHIP",29909021.1060296,43,"(1.319e+04,1.322e+04]",1.43769332495243e-06
13860,"Outside the UGA","MANOR TOWNSHIP",29841868.7319431,47,"(1.384e+04,1.388e+04]",1.5749683916306e-06
14520,"Outside the UGA","MANOR TOWNSHIP",29574322.059204,64,"(1.45e+04,1.453e+04]",2.16403946206714e-06
15180,"Outside the UGA","MANOR TOWNSHIP",27843040.7219226,48,"(1.518e+04,1.521e+04]",1.72394963895616e-06
15840,"Outside the UGA","MANOR TOWNSHIP",26481882.7756554,40,"(1.583e+04,1.586e+04]",1.51046662123177e-06
16500,"Outside the UGA","MANOR TOWNSHIP",25940776.3673126,48,"(1.648e+04,1.651e+04]",1.8503686751829e-06
17160,"Outside the UGA","MANOR TOWNSHIP",25128518.9603001,37,"(1.713e+04,1.716e+04]",1.47243059005807e-06
17820,"Outside the UGA","MANOR TOWNSHIP",23967712.2791351,82,"(1.781e+04,1.784e+04]",3.42126937460713e-06
18480,"Outside the UGA","MANOR TOWNSHIP",23319844.9112432,45,"(1.846e+04,1.85e+04]",1.92968693279363e-06
19140,"Outside the UGA","MANOR TOWNSHIP",22972458.1680858,85,"(1.912e+04,1.915e+04]",3.70008291572754e-06
19800,"Outside the UGA","MANOR TOWNSHIP",22704105.1283724,57,"(1.98e+04,1.983e+04]",2.51055919965634e-06
20460,"Outside the UGA","MANOR TOWNSHIP",22610578.6411145,40,"(2.045e+04,2.048e+04]",1.76908342926107e-06
21120,"Outside the UGA","MANOR TOWNSHIP",22384971.0829219,37,"(2.11e+04,2.113e+04]",1.65289469720282e-06
21780,"Outside the UGA","MANOR TOWNSHIP",22027652.2991266,49,"(2.175e+04,2.178e+04]",2.2244767320003e-06
22440,"Outside the UGA","MANOR TOWNSHIP",21526349.866463,27,"(2.243e+04,2.246e+04]",1.25427674303783e-06
