INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182051582,00301,Robbery,ROBBERY - STREET,D4,284,,2018-07-01 10:43:00,2018,7,Sunday,10,Part One,COLUMBUS AVE,42.340018,-71.082515,"(42.34001800, -71.08251500)"
I182051536,00301,Robbery,ROBBERY - STREET,D4,626,,2018-07-01 05:50:00,2018,7,Sunday,5,Part One,JERSEY ST,42.34326644,-71.09719321,"(42.34326644, -71.09719321)"
I182051507,00301,Robbery,ROBBERY - STREET,A1,118,,2018-07-01 02:54:00,2018,7,Sunday,2,Part One,CHURCH ST,42.35105768,-71.06878946,"(42.35105768, -71.06878946)"
I182051450,00301,Robbery,ROBBERY - STREET,D4,134,,2018-06-30 21:18:00,2018,6,Saturday,21,Part One,BOYLSTON ST,42.3503787,-71.07626098,"(42.35037870, -71.07626098)"
I182051390,00301,Robbery,ROBBERY - STREET,C6,186,,2018-06-30 16:19:00,2018,6,Saturday,16,Part One,BOSTON ST,42.32692112,-71.05841861,"(42.32692112, -71.05841861)"
I182051349,00311,Robbery,ROBBERY - COMMERCIAL,A1,73,,2018-06-30 12:50:00,2018,6,Saturday,12,Part One,CENTER PLZ,42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
I182051264,00361,Robbery,ROBBERY - OTHER,C6,186,,2018-06-30 07:11:00,2018,6,Saturday,7,Part One,MASSACHUSETTS AVE,42.32553801,-71.06579592,"(42.32553801, -71.06579592)"
I182051258,00301,Robbery,ROBBERY - STREET,A1,100,,2018-06-30 02:15:00,2018,6,Saturday,2,Part One,STATE ST,42.35902548,-71.05567996,"(42.35902548, -71.05567996)"
I182051174,00301,Robbery,ROBBERY - STREET,E13,581,,2018-06-29 21:41:00,2018,6,Friday,21,Part One,CENTRE ST,42.32291406,-71.10328402,"(42.32291406, -71.10328402)"
I182050982,00361,Robbery,ROBBERY - OTHER,B3,429,,2018-06-29 10:57:00,2018,6,Friday,10,Part One,HILDRETH ST,42.2831323,-71.0872187,"(42.28313230, -71.08721870)"
I182050902,00301,Robbery,ROBBERY - STREET,D4,627,,2018-06-28 23:36:00,2018,6,Thursday,23,Part One,BOYLSTON ST,42.34601613,-71.0938121,"(42.34601613, -71.09381210)"
I182050698,00301,Robbery,ROBBERY - STREET,B2,287,,2018-06-28 12:02:00,2018,6,Thursday,12,Part One,WASHINGTON ST,42.33044113,-71.08373481,"(42.33044113, -71.08373481)"
I182050678,00351,Robbery,ROBBERY - BANK,A15,56,,2018-06-28 11:15:00,2018,6,Thursday,11,Part One,THOMPSON SQ,42.3751514,-71.0639642,"(42.37515140, -71.06396420)"
I182050602,00301,Robbery,ROBBERY - STREET,B2,325,,2018-06-28 01:39:00,2018,6,Thursday,1,Part One,DACIA ST,42.31484522,-71.07738943,"(42.31484522, -71.07738943)"
I182050573,00301,Robbery,ROBBERY - STREET,A1,173,,2018-06-27 22:32:00,2018,6,Wednesday,22,Part One,ATLANTIC AVE,42.35178454,-71.05590762,"(42.35178454, -71.05590762)"
I182050570,00311,Robbery,ROBBERY - COMMERCIAL,A15,60,,2018-06-27 22:35:00,2018,6,Wednesday,22,Part One,THOMPSON SQ,42.3751514,-71.0639642,"(42.37515140, -71.06396420)"
I182050566,00311,Robbery,ROBBERY - COMMERCIAL,A15,59,,2018-06-27 22:23:00,2018,6,Wednesday,22,Part One,AUSTIN ST,42.37479451,-71.06600871,"(42.37479451, -71.06600871)"
I182050519,00301,Robbery,ROBBERY - STREET,B2,178,,2018-06-24 20:03:00,2018,6,Sunday,20,Part One,MASSACHUSETTS AVE,42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
I182050213,00371,Robbery,ROBBERY - HOME INVASION,C6,936,,2018-06-26 23:08:00,2018,6,Tuesday,23,Part One,ORTON-MAROTTA WAY,42.33857289,-71.05575501,"(42.33857289, -71.05575501)"
I182050212,00301,Robbery,ROBBERY - STREET,B2,329,,2018-06-26 23:17:00,2018,6,Tuesday,23,Part One,DEVON ST,42.3092779,-71.07868791,"(42.30927790, -71.07868791)"
I182050130,00301,Robbery,ROBBERY - STREET,A15,42,,2018-06-26 05:00:00,2018,6,Tuesday,5,Part One,MEDFORD ST,42.37914075,-71.05672546,"(42.37914075, -71.05672546)"
I182050096,00301,Robbery,ROBBERY - STREET,C11,345,,2018-06-26 17:10:00,2018,6,Tuesday,17,Part One,DRAPER ST,42.30287064,-71.06399249,"(42.30287064, -71.06399249)"
I182049973,00301,Robbery,ROBBERY - STREET,A15,38,,2018-06-26 08:52:00,2018,6,Tuesday,8,Part One,THIRD AVE,42.37627664,-71.05383757,"(42.37627664, -71.05383757)"
I182049928,00371,Robbery,ROBBERY - HOME INVASION,A15,51,,2018-06-26 06:52:00,2018,6,Tuesday,6,Part One,MAIN ST,42.38140059,-71.07104354,"(42.38140059, -71.07104354)"
I182049879,00311,Robbery,ROBBERY - COMMERCIAL,E18,525,,2018-06-25 20:13:00,2018,6,Monday,20,Part One,NEPONSET VALLEY PKWY,42.23603929,-71.12718154,"(42.23603929, -71.12718154)"
I182049798,00301,Robbery,ROBBERY - STREET,A1, ,,2018-06-25 18:18:00,2018,6,Monday,18,Part One,BEACON ST,,,"(0.00000000, 0.00000000)"
I182049778,00301,Robbery,ROBBERY - STREET,A1,297,,2018-06-25 16:28:00,2018,6,Monday,16,Part One,,,,"(0.00000000, 0.00000000)"
