the_geom,cartodb_id,station,line,terminus,route
0101000020E6100000136A4039DCC851C0AA95AC95542B4540,99,Tappan Street,GREEN,N,C - Cleveland Circle
0101000020E6100000B045ACDAA9C851C0BD6CAD146F2B4540,100,Washington Square,GREEN,N,C - Cleveland Circle
0101000020E610000030ABAB2B67C851C05C6BF754792B4540,101,Fairbanks Street,GREEN,N,C - Cleveland Circle
0101000020E6100000556E69EB3BC851C07302ABE0862B4540,102,Brandon Hall,GREEN,N,C - Cleveland Circle
0101000020E6100000653891E80CC851C0314046D1A62B4540,103,Summit Ave/Winchester St,GREEN,N,C - Cleveland Circle
0101000020E61000009804F04DC3C751C0AFCA1B92CB2B4540,104,Coolidge Corner,GREEN,N,C - Cleveland Circle
0101000020E610000004E4A60680C751C07F9CB751EE2B4540,105,Saint Paul Street,GREEN,N,C - Cleveland Circle
0101000020E6100000495B678C50C751C05F1F0F86082C4540,106,Kent Street,GREEN,N,C - Cleveland Circle
0101000020E61000001976EA7C1DC751C035E3A65E242C4540,107,Hawes Street,GREEN,N,C - Cleveland Circle
0101000020E610000027355503DDC651C05C336F50492C4540,108,Saint Marys Street,GREEN,N,C - Cleveland Circle
0101000020E6100000D41CC5D6B1C651C0E63D80282E2C4540,109,Fenway Park,GREEN,N,D - Riverside
0101000020E61000003A12012B09C751C0125648D0BB2B4540,110,Longwood,GREEN,N,D - Riverside
0101000020E610000062B0E01B7AC751C0E56F4276922A4540,111,Brookline Village,GREEN,N,D - Riverside
0101000020E6100000C442414D1CC851C0B8DE73DC672A4540,112,Brookline Hills,GREEN,N,D - Riverside
0101000020E610000026080702FAC851C065FC25F6F72A4540,113,Beaconsfield,GREEN,N,D - Riverside
0101000020E61000008582B50A7FC951C0476C52DDE52A4540,114,Reservoir,GREEN,N,D - Riverside
0101000020E6100000834E12F388CA51C07296B9ACD2294540,115,Chestnut Hill,GREEN,N,D - Riverside
0101000020E6100000301F74C94FCC51C0CF8564492A2A4540,116,Newton Centre,GREEN,N,D - Riverside
0101000020E6100000F40644F126CD51C037D705E642294540,117,Newton Highlands,GREEN,N,D - Riverside
0101000020E6100000FE471C94DCCD51C0DA33CE46D4284540,118,Eliot,GREEN,N,D - Riverside
0101000020E61000005B6783B391CF51C063EC16449A2A4540,119,Woodland,GREEN,N,D - Riverside
0101000020E61000005D48ADD929D051C078FDFBDE2F2B4540,120,Riverside,GREEN,Y,D - Riverside
0101000020E610000074891F6EDFC351C074214FDC7E2D4540,121,Downtown Crossing,ORANGE/RED,N,ORANGE Forest Hills to Oak Grove / RED A - Ashmont  B - Braintree  C - Alewife
0101000020E6100000931764E2FCC351C0C22B9611982D4540,122,Park Street,GREEN/RED,N,GREEN B C D E / RED A - Ashmont  B - Braintree  C - Alewife
0101000020E6100000CC50F9E059C351C0FB81FD9D0A294540,123,JFK/UMass,RED,N,A - Ashmont  B - Braintree  C - Alewife
0101000020E61000000CABB04EB3C351C0C3610A23ED2D4540,124,State,BLUE/ORANGE,N,BLUE Bowdoin to Wonderland / ORANGE Forest Hills to Oak Grove
0101000020E610000017C33BF224C651C0565EFADE592A4540,125,Roxbury Crossing,ORANGE,N,Forest Hills to Oak Grove
0101000020E61000005E10C6EF2CC151C0BD4B9E3F792E4540,126,Airport Terminal B2,SILVER,N,SL1
0101000020E61000009FEE24D606C551C08FB9B8BDE62A4540,128,Lenox St,SILVER,N,SL4 SL5
0101000020E61000002A4541D7F0C451C0BD72A73A0A2B4540,129,Massachusetts Ave,SILVER,N,SL4 SL5
0101000020E61000002BF65C70B8C451C0EBC9CC385A2B4540,130,Newton Street,SILVER,N,SL4 SL5
0101000020E6100000A5D7F8086EC451C03B61BB22B42B4540,131,Union Park Street,SILVER,N,SL4 SL5
0101000020E61000005D42428E3CC451C0DD3E5ECD002C4540,132,East Berkeley Street,SILVER,N,SL4 SL5
0101000020E6100000C2295C3D27C451C06BC185753D2C4540,133,Herald Street,SILVER,N,SL4 SL5
0101000020E6100000EC07F155D3C451C01D78DD00352B4540,134,Worcester Square,SILVER,N,SL4 SL5
0101000020E6100000AD64825C32C551C0AFEFECF7952A4540,135,Melnea Cass Blvd,SILVER,N,SL4 SL5
0101000020E6100000003ED38713C451C0C89D870AC02C4540,136,Tuffs Medical Center,SILVER,N,SL4 SL5
0101000020E61000005D11751E0DC251C0D2044C16302C4540,137,Tide St,SILVER,N,SL2
0101000020E610000079FA0D133DC251C0CDAD21145C2C4540,138,Harbor St,SILVER,N,SL2
0101000020E6100000D33E3AD12FC151C0F6A2A760402E4540,139,Airport Terminal B1,SILVER,N,SL1
0101000020E610000010B706965AC151C06656C253AF2E4540,140,Airport Terminal A,SILVER,N,SL1
0101000020E6100000BC9CA82A24C151C0277E5599012F4540,141,Airport Terminal C,SILVER,N,SL1
0101000020E610000074CA608B58C151C0E9639E4C502F4540,142,Airport Terminal E,SILVER,Y,SL1
0101000020E610000024BB5F336FC251C0BB516182692C4540,143,Silver Line Way,SILVER,N,SL1 SL2
0101000020E6100000F978FF70BAC251C0C4C86B74962C4540,144,World Trade Center,SILVER,N,SL1 SL2
0101000020E610000043282D3900C351C074DF1AF31A2D4540,145,Courthouse,SILVER,N,SL1 SL2
0101000020E610000019A2CAA689C351C0BD76FE87222D4540,146,South Station,SILVER,N,SL1 SL2
0101000020E6100000107A2352AFC151C0CEBBE71AFD2B4540,147,88 Black Falcon Ave,SILVER,N,SL2
0101000020E6100000729E6AFFF1C151C0D05B73AE1E2C4540,148,23 Dry Dock Ave,SILVER,N,SL2
0101000020E61000003B9817BCCBC151C042D1D616202C4540,149,27 Dry Dock Ave,SILVER,N,SL2
