OFFENSE,YEAR,STREET,LAT,LON
ROBBERY,2012,WASHINGTON ST,42.30383135,-71.07886456
ROBBERY,2012,WASHINGTON ST,42.34839135,-71.06412957
ROBBERY,2012,BLUE HILL AV,42.29815136,-71.08701956
ROBBERY,2012,COLEMAN ST,42.30775136,-71.06682957
ROBBERY,2012,MAGNOLIA ST,42.31035135,-71.07467956
ROBBERY,2012,TRULL ST,42.31248434,-71.06546278
ROBBERY,2012,WASHINGTON ST,42.33767135,-71.07532956
ROBBERY,2012,EVERETT ST,42.36643134,-71.03229957
ROBBERY,2012,PRINCETON ST,42.37955134,-71.03057457
ROBBERY,2012,FULLER ST,42.28311636,-71.06766456
ROBBERY,2012,E BROOKLINE ST,42.33920635,-71.07202956
ROBBERY,2012,ELM HILL AV,42.30958136,-71.08743956
ROBBERY,2012,TRENTON ST,42.37818634,-71.03833957
ROBBERY,2012,MASSACHUSETTS AV,42.34728135,-71.08772955
ROBBERY,2012,MASSACHUSETTS AV,42.34185635,-71.08364455
ROBBERY,2012,W CONCORD ST,42.33960135,-71.07699955
ROBBERY,2012,COLUMBUS AV,42.33930135,-71.08330956
ROBBERY,2012,WORCESTER ST,42.33823135,-71.07665956
ROBBERY,2012,COLUMBIA RD,42.3164411,-71.06582908
ROBBERY,2012,BOWDOIN ST,42.36054634,-71.06290456
ROBBERY,2012,WASHINGTON ST,42.30081135,-71.11296955
ROBBERY,2012,DORCHESTER AV,42.28865136,-71.06348957
ROBBERY,2012,DORCHESTER AV,42.30558135,-71.05888456
ROBBERY,2012,KNAPP ST,42.35072135,-71.06220956
ROBBERY,2012,GREENWOOD ST,42.30261635,-71.07916956
ROBBERY,2012,COLUMBIA RD,42.30922135,-71.07383456
ROBBERY,2012,SOUTH ST,42.28838136,-71.13538954
ROBBERY,2012,PARK ST,42.35644135,-71.06197957
ROBBERY,2012,RIVER ST,42.24639137,-71.13628955
ROBBERY,2012,WARREN ST,42.31981136,-71.08138956
ROBBERY,2012,MASSACHUSETTS AV,42.33325635,-71.07289955
ROBBERY,2012,COMMERCIAL ST,42.36719134,-71.05247957
ROBBERY,2012,CLEARWAY ST,42.34543135,-71.08675956
ROBBERY,2012,MASSACHUSETTS AV,42.34071135,-71.08193455
ROBBERY,2012,SYDNEY ST,42.31590135,-71.05257456
ROBBERY,2012,W 7TH ST,42.33501635,-71.05191956
ROBBERY,2012,GORDON ST,42.35367156,-71.140722
ROBBERY,2012,PRINCETON ST,42.37916134,-71.03163957
ROBBERY,2012,MAGNOLIA ST,42.31475635,-71.07160956
ROBBERY,2012,HUDSON ST,42.35071134,-71.06006956
ROBBERY,2012,VIRGINIA ST,42.31619136,-71.06784957
ROBBERY,2012,DORCHESTER AV,42.32683135,-71.05687957
ROBBERY,2012,AMERICAN LEGION HY,42.27785639,-71.11616328
ROBBERY,2012,METROPOLITAN AV,42.28075636,-71.13254453
ROBBERY,2012,BLUE HILL AV,42.29324136,-71.08855455
ROBBERY,2012,COLUMBIA RD,42.31700135,-71.06508957
ROBBERY,2012,HARRISON AV,42.33490135,-71.07516956
ROBBERY,2012,DORCHESTER AV,42.28395136,-71.06479957
ROBBERY,2012,LYON ST,42.30637017,-71.06020789
ROBBERY,2012,COLUMBIA RD,42.31508477,-71.06683616
ROBBERY,2012,GENEVA AV,42.30107136,-71.06751957
ROBBERY,2012,MORRISSEY BL,42.29684981,-71.04895284
ROBBERY,2012,GREENVILLE ST,42.32723569,-71.08059616
ROBBERY,2012,BOSTON ST,42.32780135,-71.05798456
ROBBERY,2012,DELHI ST,42.27605136,-71.08962456
ROBBERY,2012,BOSTON ST,42.32780135,-71.05798456
ROBBERY,2012,MUSEUM RD,42.33856135,-71.09584955
ROBBERY,2012,GARDNER ST,42.32945135,-71.09393955
ROBBERY,2012,WINTHROP ST,42.32561361,-71.07976524
ROBBERY,2012,WINTHROP ST,42.32561361,-71.07976524
ROBBERY,2012,BERKELEY ST,42.34525135,-71.06981956
ROBBERY,2012,MASSACHUSETTS AV,42.32731635,-71.06731956
ROBBERY,2012,CENTRE ST,42.32968135,-71.09319955
ROBBERY,2012,KNEELAND ST,42.35063634,-71.06184956
ROBBERY,2012,INDIA ST,42.35789135,-71.05130957
ROBBERY,2012,SAVIN HILL AV,42.31127531,-71.05314298
ROBBERY,2012,BLUE HILL AV,42.31904136,-71.07775956
ROBBERY,2012,MOZART ST,42.32148635,-71.10470455
ROBBERY,2012,CUMMINS HY,42.28446136,-71.12509955
ROBBERY,2012,DARTMOUTH ST,42.35066134,-71.07763955
ROBBERY,2012,BLUE HILL AV,42.30397135,-71.08486956
ROBBERY,2012,BEACON ST,42.33627635,-71.14850953
ROBBERY,2012,CHELSEA ST,42.38257403,-71.02407272
ROBBERY,2012,GLADSTONE ST,42.38913565,-71.00171995
ROBBERY,2012,BYRON ST,42.38438558,-71.01831507
ROBBERY,2012,BERKELEY ST,42.34696135,-71.07094956
ROBBERY,2012,H ST,42.33094135,-71.04138957
ROBBERY,2012,BABSON ST,42.27649137,-71.09266956
ROBBERY,2012,VALLAR RD,42.39262966,-71.00843603
ROBBERY,2012,PARIS ST,42.37442134,-71.03529458
ROBBERY,2012,BROOKS ST,42.37808134,-71.03449957
ROBBERY,2012,WASHINGTON ST,42.33599135,-71.07765956
ROBBERY,2012,LOGAN WY,42.32779635,-71.05437456
ROBBERY,2012,RUTLAND SQ,42.34238722,-71.0788506
ROBBERY,2012,WELLINGTON ST,42.34153591,-71.08179542
ROBBERY,2012,ANDERSON ST,42.36060634,-71.06779456
ROBBERY,2012,WASHINGTON ST,42.34868134,-71.06401456
ROBBERY,2012,COLUMBIA RD,42.3065968,-71.07708825
ROBBERY,2012,MERIDIAN ST,42.37674138,-71.03915227
ROBBERY,2012,COMMERCIAL ST,42.36749032,-71.05777014
ROBBERY,2012,NORTHAMPTON ST,42.33461135,-71.07598456
ROBBERY,2012,BEACON ST,42.35614135,-71.06941956
ROBBERY,2012,TREMONT ST,42.33388135,-71.10399454
ROBBERY,2012,MASSACHUSETTS AV,42.33236135,-71.07191956
ROBBERY,2012,TALBOT AV,42.29023136,-71.07210956
ROBBERY,2012,ARLINGTON ST,42.26248137,-71.12077955
ROBBERY,2012,BOYLSTON ST,42.35237134,-71.06490456
ROBBERY,2012,DITSON ST,42.30083136,-71.06379957
